fiscal_month,product_code,product_name,variant,gross_price_per_item,total_gross_price
10,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,2522.58
12,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,2893.55
1,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,2904.69
2,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,7226.31
4,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,2857.46
5,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,968.23
6,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,2857.46
8,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,4439.7
9,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,5313.47
10,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,732.08
12,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,23.6154,1275.23
1,A0320150301,AQ Zion Saga,Standard,23.7223,3463.46
2,A0320150301,AQ Zion Saga,Standard,23.7223,4863.07
4,A0320150301,AQ Zion Saga,Standard,23.7223,8634.92
5,A0320150301,AQ Zion Saga,Standard,23.7223,2870.4
6,A0320150301,AQ Zion Saga,Standard,23.7223,4364.9
8,A0320150301,AQ Zion Saga,Standard,23.7223,5503.57
9,A0320150301,AQ Zion Saga,Standard,23.7223,5290.07
10,A0320150301,AQ Zion Saga,Standard,23.7223,2158.73
12,A0320150301,AQ Zion Saga,Standard,23.7223,5764.52
1,A0321150302,AQ Zion Saga,Plus,27.1027,6396.24
2,A0321150302,AQ Zion Saga,Plus,27.1027,3658.86
4,A0321150302,AQ Zion Saga,Plus,27.1027,9187.82
5,A0321150302,AQ Zion Saga,Plus,27.1027,4444.84
6,A0321150302,AQ Zion Saga,Plus,27.1027,1138.31
8,A0321150302,AQ Zion Saga,Plus,27.1027,2330.83
9,A0321150302,AQ Zion Saga,Plus,27.1027,5041.1
10,A0321150302,AQ Zion Saga,Plus,27.1027,1897.19
12,A0321150302,AQ Zion Saga,Plus,27.1027,2032.7
1,A0321150303,AQ Zion Saga,Premium,28.0059,3836.81
2,A0321150303,AQ Zion Saga,Premium,28.0059,6973.47
4,A0321150303,AQ Zion Saga,Premium,28.0059,7701.62
5,A0321150303,AQ Zion Saga,Premium,28.0059,4817.01
6,A0321150303,AQ Zion Saga,Premium,28.0059,3332.7
8,A0321150303,AQ Zion Saga,Premium,28.0059,2660.56
9,A0321150303,AQ Zion Saga,Premium,28.0059,2352.5
10,A0321150303,AQ Zion Saga,Premium,28.0059,4060.86
12,A0321150303,AQ Zion Saga,Premium,28.0059,4228.89
1,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,449.04
2,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,4295.17
4,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,4490.41
5,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,2596.63
6,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,1327.6
8,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,644.28
9,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,1132.36
10,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,2108.54
12,A0418150103,AQ Mforce Gen X,Standard 3,19.5235,2733.29
1,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,1633.76
2,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,4502.8
4,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,2191.63
5,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,3088.2
6,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,1912.69
8,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,637.56
9,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,956.35
10,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,1514.22
12,A0418150104,AQ Mforce Gen X,Plus 1,19.9239,3307.37
1,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,1726.59
2,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,4979
4,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,6605.2
5,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,3533.48
6,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,2609.96
8,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,3734.25
9,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,3814.55
10,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,1686.43
12,A0418150105,AQ Mforce Gen X,Plus 2,20.0766,3272.49
1,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,956.95
2,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,1495.24
4,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,4944.25
5,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,2412.32
6,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,3508.82
8,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,1754.41
9,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,1515.17
10,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,2272.76
12,A0418150106,AQ Mforce Gen X,Plus 3,19.9365,1295.87
1,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,3090.98
2,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,1836.67
4,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,2822.2
5,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,1814.27
6,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,1433.5
8,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,1119.92
9,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,3001.39
10,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,1299.11
12,A0519150201,AQ Mforce Gen Y,Standard 1,22.3984,4188.5
1,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,1794.95
2,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,1221.56
4,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,4337.79
5,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,1620.44
6,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,1246.49
8,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,3764.4
9,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,2268.61
10,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,2667.49
12,A0519150202,AQ Mforce Gen Y,Standard 2,24.9298,4163.28
1,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,1010.31
2,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,5131.31
4,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,9465.01
5,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,3828.54
6,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,4147.59
8,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,824.2
9,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,3243.63
10,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,4147.59
12,A0519150203,AQ Mforce Gen Y,Standard 3,26.5871,2472.6
1,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,3890.11
2,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,5038.86
4,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,2636.92
5,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,2976.32
6,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,2088.65
8,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,4542.81
9,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,4647.24
10,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,2036.43
12,A0519150204,AQ Mforce Gen Y,Plus 1,26.1081,3524.59
1,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,861.32
2,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,6415.37
4,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,5286.74
5,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,4930.33
6,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,3207.69
8,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,2079.06
9,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,4098.71
10,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,4276.92
12,A0519150205,AQ Mforce Gen Y,Plus 2,29.7008,2435.47
1,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,874.83
2,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,4249.17
4,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,3905.49
5,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,3749.27
6,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,3405.59
8,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,1999.61
9,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,3249.37
10,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,5030.27
12,A0519150206,AQ Mforce Gen Y,Plus 3,31.2439,6123.8
1,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,5547.7
2,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,3990.45
4,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,1557.25
5,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,648.85
6,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,5709.92
8,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,3860.68
9,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,1395.04
10,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,4087.78
12,A0519150207,AQ Mforce Gen Y,Premium 1,32.4427,3406.48
1,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,3608.63
2,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,6697.37
4,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,5627.01
5,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,2201.88
6,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,3608.63
8,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,3975.61
9,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,5565.85
10,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,2874.67
12,A0519150208,AQ Mforce Gen Y,Premium 2,30.5816,1957.22
1,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,1553.95
2,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,1371.13
4,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,2559.45
5,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,3747.76
6,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,975.03
8,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,1279.72
9,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,3534.47
10,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,3625.88
12,A0619150301,AQ Mforce Gen Z,Standard 1,30.4696,1584.42
1,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,6512.58
2,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,988.82
4,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,8012.87
5,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,920.63
6,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,6751.27
8,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,3443.83
9,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,2932.37
10,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,5080.5
12,A0619150302,AQ Mforce Gen Z,Standard 2,34.0973,6751.27
1,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,5718.28
2,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,3184.43
4,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,11128.39
5,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,1438.13
6,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,2191.44
8,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,3903.5
9,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,2568.09
10,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,2978.98
12,A0620150303,AQ Mforce Gen Z,Standard 3,34.2412,3218.67
1,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,4585.08
2,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,9094.99
4,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,3457.6
5,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,5712.56
6,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,3457.6
8,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,3532.76
9,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,2405.29
10,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,4585.08
12,A0620150304,AQ Mforce Gen Z,Plus 1,37.5826,2856.28
1,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,6326.25
2,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,8447.18
4,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,12250.25
5,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,6947.9
6,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,5338.91
8,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,6655.36
9,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,6911.33
10,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,914.2
12,A0620150305,AQ Mforce Gen Z,Plus 2,36.5679,1023.9
1,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,6830.06
2,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,8668.92
4,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,12459.23
5,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,2964.7
6,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,5328.95
8,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,2101.56
9,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,3152.34
10,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,6830.06
12,A0620150306,AQ Mforce Gen Z,Plus 3,37.5278,4578.39
1,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,6415.08
2,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,1703.44
4,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,12757.68
5,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,4566.67
6,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,1812.17
8,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,5980.16
9,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,5001.59
10,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,2065.87
12,A0621150307,AQ Mforce Gen Z,Premium 1,36.2434,4349.21
1,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,6540.23
2,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,9258.77
4,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,13513.86
5,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,7407.01
6,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,3979.3
8,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,6067.45
9,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,3073.12
10,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,7249.42
12,A0621150308,AQ Mforce Gen Z,Premium 2,39.399,5515.86
1,A0721150401,AQ GT 21,Standard,39.3377,865.43
2,A0721150401,AQ GT 21,Standard,39.3377,8575.62
4,A0721150401,AQ GT 21,Standard,39.3377,11289.92
5,A0721150401,AQ GT 21,Standard,39.3377,2832.31
6,A0721150401,AQ GT 21,Standard,39.3377,3894.43
8,A0721150401,AQ GT 21,Standard,39.3377,6687.41
9,A0721150401,AQ GT 21,Standard,39.3377,3973.11
10,A0721150401,AQ GT 21,Standard,39.3377,4681.19
12,A0721150401,AQ GT 21,Standard,39.3377,5074.56
1,A0721150402,AQ GT 21,Plus 1,39.1465,2427.08
2,A0721150402,AQ GT 21,Plus 1,39.1465,1683.3
4,A0721150402,AQ GT 21,Plus 1,39.1465,7751.01
5,A0721150402,AQ GT 21,Plus 1,39.1465,4697.58
6,A0721150402,AQ GT 21,Plus 1,39.1465,7555.27
8,A0721150402,AQ GT 21,Plus 1,39.1465,861.22
9,A0721150402,AQ GT 21,Plus 1,39.1465,6263.44
10,A0721150402,AQ GT 21,Plus 1,39.1465,2348.79
12,A0721150402,AQ GT 21,Plus 1,39.1465,5793.68
1,A0721150403,AQ GT 21,Plus 2,39.299,2240.04
2,A0721150403,AQ GT 21,Plus 2,39.299,7231.02
4,A0721150403,AQ GT 21,Plus 2,39.299,5855.55
5,A0721150403,AQ GT 21,Plus 2,39.299,1886.35
6,A0721150403,AQ GT 21,Plus 2,39.299,4480.09
8,A0721150403,AQ GT 21,Plus 2,39.299,5344.66
9,A0721150403,AQ GT 21,Plus 2,39.299,4047.8
10,A0721150403,AQ GT 21,Plus 2,39.299,7388.21
12,A0721150403,AQ GT 21,Plus 2,39.299,4951.67
1,A0721150404,AQ GT 21,Premium,39.1215,7120.11
2,A0721150404,AQ GT 21,Premium,39.1215,2503.78
4,A0721150404,AQ GT 21,Premium,39.1215,3873.03
5,A0721150404,AQ GT 21,Premium,39.1215,4929.31
6,A0721150404,AQ GT 21,Premium,39.1215,5477.01
8,A0721150404,AQ GT 21,Premium,39.1215,1721.35
9,A0721150404,AQ GT 21,Premium,39.1215,7628.69
10,A0721150404,AQ GT 21,Premium,39.1215,3168.84
12,A0721150404,AQ GT 21,Premium,39.1215,6259.44
1,A0821150501,AQ Marquee P3,Standard,40.5013,4860.16
2,A0821150501,AQ Marquee P3,Standard,40.5013,7047.23
4,A0821150501,AQ Marquee P3,Standard,40.5013,13486.93
5,A0821150501,AQ Marquee P3,Standard,40.5013,3483.11
6,A0821150501,AQ Marquee P3,Standard,40.5013,1620.05
8,A0821150501,AQ Marquee P3,Standard,40.5013,6642.21
9,A0821150501,AQ Marquee P3,Standard,40.5013,6723.22
10,A0821150501,AQ Marquee P3,Standard,40.5013,2551.58
12,A0821150501,AQ Marquee P3,Standard,40.5013,5589.18
1,A0821150502,AQ Marquee P3,Plus 1,43.2966,4589.44
2,A0821150502,AQ Marquee P3,Plus 1,43.2966,10261.29
4,A0821150502,AQ Marquee P3,Plus 1,43.2966,3463.73
5,A0821150502,AQ Marquee P3,Plus 1,43.2966,6970.75
6,A0821150502,AQ Marquee P3,Plus 1,43.2966,8486.13
8,A0821150502,AQ Marquee P3,Plus 1,43.2966,8486.13
9,A0821150502,AQ Marquee P3,Plus 1,43.2966,1342.19
10,A0821150502,AQ Marquee P3,Plus 1,43.2966,909.23
12,A0821150502,AQ Marquee P3,Plus 1,43.2966,5368.78
1,A0821150503,AQ Marquee P3,Plus 2,42.3841,7290.07
2,A0821150503,AQ Marquee P3,Plus 2,42.3841,10045.03
4,A0821150503,AQ Marquee P3,Plus 2,42.3841,8815.89
5,A0821150503,AQ Marquee P3,Plus 2,42.3841,3094.04
6,A0821150503,AQ Marquee P3,Plus 2,42.3841,6781.46
8,A0821150503,AQ Marquee P3,Plus 2,42.3841,4789.4
9,A0821150503,AQ Marquee P3,Plus 2,42.3841,6866.22
10,A0821150503,AQ Marquee P3,Plus 2,42.3841,6527.15
12,A0821150503,AQ Marquee P3,Plus 2,42.3841,7459.6
1,A0821150504,AQ Marquee P3,Premium,44.7044,8806.77
2,A0821150504,AQ Marquee P3,Premium,44.7044,11131.4
4,A0821150504,AQ Marquee P3,Premium,44.7044,8627.95
5,A0821150504,AQ Marquee P3,Premium,44.7044,5900.98
6,A0821150504,AQ Marquee P3,Premium,44.7044,8270.31
8,A0821150504,AQ Marquee P3,Premium,44.7044,7555.04
9,A0821150504,AQ Marquee P3,Premium,44.7044,6884.48
10,A0821150504,AQ Marquee P3,Premium,44.7044,1385.84
12,A0821150504,AQ Marquee P3,Premium,44.7044,8225.61
1,A0921150601,AQ Marquee P4,Standard,45.0813,2524.55
2,A0921150601,AQ Marquee P4,Standard,45.0813,9782.64
4,A0921150601,AQ Marquee P4,Standard,45.0813,6626.95
5,A0921150601,AQ Marquee P4,Standard,45.0813,4688.46
6,A0921150601,AQ Marquee P4,Standard,45.0813,7032.68
8,A0921150601,AQ Marquee P4,Standard,45.0813,7213.01
9,A0921150601,AQ Marquee P4,Standard,45.0813,6581.87
